_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66b73c85bbf6f4795f0c95aa,,79.99,97.14,83.99,80.48,100;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1723284613000
66b73c72bbf6f4795f0c950f,,68.75,93.94,79.14,79.45,86;3;1;1,time,15,-1,10,15.01,0,56.76,false,false,english,none,normal,false,false,false,,1723284594000
66b73033bbf6f4795f0c2f8a,,68,98.88,71.2,76.59,85;0;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1723281459000
66b7301cbbf6f4795f0c2ee1,,72.79,97.89,75.99,76.46,91;1;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1723281436000
66b7300abbf6f4795f0c2e44,,79.18,100,79.18,86.68,99;0;0;0,time,15,-1,4,15,0,20.16,false,false,english,none,normal,false,false,false,,1723281418000
66b3312e51009ca6b5d55378,,70.29,95.7,74.29,82.14,88;3;0;1,time,15,-1,5,15.02,0,10.74,false,false,english,none,normal,false,false,false,,1723019566000
66b31ad451009ca6b5d48991,,76.71,100,76.71,79.59,96;0;0;0,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1723013844000
66b2263751009ca6b5cc1e16,,75.16,93.75,89.56,87.19,94;4;0;2,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1722951223000
66b2260351009ca6b5cc1b81,true,91.16,100,91.16,90.63,114;0;0;0,time,15,-1,1,15.01,0,12.69,false,false,english,none,normal,false,false,false,,1722951171000
66b2243051009ca6b5cc0447,,74.29,96.26,85.47,87.6,93;1;0;2,time,15,-1,8,15.02,0,51.48,false,false,english,none,normal,false,false,false,,1722950704000
66b21be551009ca6b5cba2e4,,67.19,97.85,74.39,70.44,84;1;0;0,time,15,-1,8,15,0,50.77,false,false,english,none,normal,false,false,false,,1722948581000
66b21aac51009ca6b5cb95f6,,67.87,96.67,71.87,64.52,85;2;0;1,time,15,-1,9,15.03,0,31.71,false,false,english,none,normal,false,false,false,,1722948268000
66b2170751009ca6b5cb6fe8,,75.86,97.06,81.45,74.14,95;2;0;0,time,15,-1,0,15.03,0,0,false,false,english,none,normal,false,false,false,,1722947335000
66b216d551009ca6b5cb6dca,,83.86,97.32,89.45,86.28,105;1;1;0,time,15,-1,11,15.03,0,58.44,false,false,english,none,normal,false,false,false,,1722947285000
66b2153751009ca6b5cb5d0a,,70.29,97.83,73.49,57.16,88;1;0;1,time,15,-1,12,15.02,1,67.39,false,false,english,none,normal,false,false,false,,1722946871000
66b2140b51009ca6b5cb5054,,84.63,97.35,90.22,85.57,106;1;1;0,time,15,-1,3,15.03,0,24.85,false,false,english,none,normal,false,false,false,,1722946571000
66b20e9e51009ca6b5cb165d,,84.74,100,84.74,73.93,106;0;0;0,time,15,-1,5,15.01,0,43.04,false,false,english,none,normal,false,false,false,,1722945182000
66b20be351009ca6b5caf961,,83.55,97.35,89.92,88.26,105;2;0;0,time,15,-1,10,15.08,0,46.92,false,false,english,none,normal,false,false,false,,1722944483000
66b20ae751009ca6b5caf00c,,81.56,97.22,86.36,89.61,102;2;0;1,time,15,-1,3,15.01,0,27.93,false,false,english,none,normal,false,false,false,,1722944231000
66b1f51551009ca6b5ca1f8b,,71.95,88.6,91.13,88.43,90;7;2;2,time,15,-1,6,15.01,0,46.17,false,false,english,none,normal,false,false,false,,1722938645000
66b1ebba51009ca6b5c9c6ab,,83.18,97.2,85.58,60.09,104;3;0;0,time,15,-1,10,15,0,59.03,false,false,english,none,normal,false,false,false,,1722936250000
66b1d4f851009ca6b5c8ee55,,71.1,94.9,78.29,66.07,89;3;0;0,time,15,-1,5,15.02,0,36.35,false,false,english,none,normal,false,false,false,,1722930424000
66b1d14851009ca6b5c8cc2f,,75.95,91.23,91.15,87.47,95;6;1;1,time,15,-1,1,15.01,0,4.88,false,false,english,none,normal,false,false,false,,1722929480000
66b1d12051009ca6b5c8cabf,,86.29,94.26,97.48,88.24,108;5;0;1,time,15,-1,0,15.02,0,0,false,false,english,none,normal,false,false,false,,1722929440000
66b1d06d51009ca6b5c8c44d,,75.19,97.98,79.19,81,94;1;0;0,time,15,-1,15,15,0,100.86,false,false,english,none,normal,false,false,false,,1722929261000
66b0c27e51009ca6b5bf4471,,50.33,100,50.33,14.85,63;0;0;0,time,15,-1,3,15.02,6,17.23,false,false,english,none,normal,false,false,false,,1722860158000
66b08daf51009ca6b5bd4e69,,78.39,100,78.39,79.95,98;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1722846639000
66b08d9951009ca6b5bd4db5,,83.96,100,83.96,86.2,105;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1722846617000
66b0841b51009ca6b5bcf93f,,75.7,97,78.86,72.25,96;2;0;1,time,15,-1,5,15.22,0,28.61,false,false,english,none,normal,false,false,false,,1722844187000
66afa29051009ca6b5b6681a,,85.54,97.32,89.54,86.28,107;2;0;0,time,15,-1,9,15.01,0,41.83,false,false,english,none,normal,false,false,false,,1722786448000
66af9ef851009ca6b5b6448f,,81.51,97.14,83.91,81.19,102;2;0;1,time,15,-1,18,15.02,0,83.83,false,false,english,none,normal,false,false,false,,1722785528000
66af8a4251009ca6b5b5783b,,78.24,96.19,83.83,75.53,98;3;0;1,time,15,-1,2,15.03,0,14.04,false,false,english,none,normal,false,false,false,,1722780226000
66af89a451009ca6b5b57258,,79.87,99.05,83.87,80.48,100;0;0;1,time,15,-1,4,15.02,0,28.42,false,false,english,none,normal,false,false,false,,1722780068000
66af85f451009ca6b5b54f61,,78.24,95.28,84.63,82.5,98;4;0;0,time,15,-1,21,15.03,0,84.14,false,false,english,none,normal,false,false,false,,1722779124000
66af4c2551009ca6b5b36b40,,62.39,94.57,73.59,79.49,78;2;1;0,time,15,-1,1,15,0,3.83,false,false,english,none,normal,false,false,false,,1722764325000
66af4bfa51009ca6b5b369fd,,68.7,92.93,79.08,76.01,86;4;0;1,time,15,-1,2,15.02,0,11.58,false,false,english,none,normal,false,false,false,,1722764282000
